movieId,title,runtimeMinutes
95,Broken Arrow (1996),108
96,In the Bleak Midwinter (1995),99
97,"Hate (Haine, La) (1995)",98
98,Shopping (1994),87
99,Heidi Fleiss: Hollywood Madam (1995),
100,City Hall (1996),111
101,Bottle Rocket (1996),91
102,Mr. Wrong (1996),96
103,Unforgettable (1996),117
104,Happy Gilmore (1996),92
105,"Bridges of Madison County, The (1995)",135
106,Nobody Loves Me (Keiner liebt mich) (1994),104
107,Muppet Treasure Island (1996),99
108,Catwalk (1996),95
109,Headless Body in Topless Bar (1995),110
110,Braveheart (1995),178
111,Taxi Driver (1976),114
112,Rumble in the Bronx (Hont faan kui) (1995),87
113,Before and After (1996),108
114,Margaret's Museum (1995),114
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",106
116,Anne Frank Remembered (1995),117
117,"Young Poisoner's Handbook, The (1995)",99
118,If Lucy Fell (1996),92
119,"Steal Big, Steal Little (1995)",135
120,Race the Sun (1996),100
121,"Boys of St. Vincent, The (1992)",
122,Boomerang (1992),117
123,Chungking Express (Chung Hing sam lam) (1994),102
124,"Star Maker, The (Uomo delle stelle, L') (1995)",113
125,Flirting With Disaster (1996),92
126,"NeverEnding Story III, The (1994)",95
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",116
128,Jupiter's Wife (1994),87
129,Pie in the Sky (1996),95
130,Angela (1995),99
131,Frankie Starlight (1995),101
132,Jade (1995),95
133,Nueba Yol (1995),106
134,Sonic Outlaws (1995),87
135,Down Periscope (1996),92
136,From the Journals of Jean Seberg (1995),97
137,Man of the Year (1995),86
138,"Neon Bible, The (1995)",91
139,Target (1995),122
140,Up Close and Personal (1996),124
141,"Birdcage, The (1996)",117
142,Shadows (Cienie) (1988),97
143,Gospa (1995),125
144,"Brothers McMullen, The (1995)",98
145,Bad Boys (1995),119
146,"Amazing Panda Adventure, The (1995)",84
147,"Basketball Diaries, The (1995)",102
148,"Awfully Big Adventure, An (1995)",112
149,Amateur (1994),105
150,Apollo 13 (1995),140
151,Rob Roy (1995),139
152,"Addiction, The (1995)",82
153,Batman Forever (1995),121
154,Beauty of the Day (Belle de jour) (1967),100
155,Beyond Rangoon (1995),100
156,Blue in the Face (1995),83
157,Canadian Bacon (1995),91
158,Casper (1995),100
159,Clockers (1995),128
160,Congo (1995),109
161,Crimson Tide (1995),116
162,Crumb (1994),119
163,Desperado (1995),104
164,Devil in a Blue Dress (1995),102
165,Die Hard: With a Vengeance (1995),128
166,"Doom Generation, The (1995)",83
167,Feast of July (1995),116
168,First Knight (1995),134
169,Free Willy 2: The Adventure Home (1995),95
170,Hackers (1995),105
171,Jeffrey (1995),92
172,Johnny Mnemonic (1995),96
173,Judge Dredd (1995),96
174,Jury Duty (1995),88
175,Kids (1995),91
176,Living in Oblivion (1995),90
177,Lord of Illusions (1995),109
178,Love & Human Remains (1993),100
179,Mad Love (1995),93
180,Mallrats (1995),94
181,Mighty Morphin Power Rangers: The Movie (1995),95
182,Moonlight and Valentino (1995),105
183,Mute Witness (1994),95
184,Nadja (1994),93
185,"Net, The (1995)",114
186,Nine Months (1995),103
187,Party Girl (1995),94
188,"Prophecy, The (1995)",98
189,Reckless (1995),91
190,Safe (1995),119
191,"Scarlet Letter, The (1995)",135
192,The Show (1995),93
193,Showgirls (1995),131
194,Smoke (1995),112
195,Something to Talk About (1995),106
196,Species (1995),108
197,"Stars Fell on Henrietta, The (1995)",109
198,Strange Days (1995),145
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",91
200,"Tie That Binds, The (1995)",99
201,Three Wishes (1995),115
202,Total Eclipse (1995),111
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",109
204,Under Siege 2: Dark Territory (1995),100
205,Unstrung Heroes (1995),93
206,Unzipped (1995),73
207,"Walk in the Clouds, A (1995)",102
208,Waterworld (1995),135
209,White Man's Burden (1995),89
210,Wild Bill (1995),97
211,"Browning Version, The (1994)",97
212,Bushwhacked (1995),90
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),135
214,Before the Rain (Pred dozhdot) (1994),113
215,Before Sunrise (1995),101
216,Billy Madison (1995),89
217,"Babysitter, The (1995)",88
218,Boys on the Side (1995),115
219,"Cure, The (1995)",97
220,Castle Freak (1995),
222,Circle of Friends (1995),103
223,Clerks (1994),92
224,Don Juan DeMarco (1995),97
225,Disclosure (1994),128
226,Dream Man (1995),
227,Drop Zone (1994),101
228,Destiny Turns on the Radio (1995),102
229,Death and the Maiden (1994),103
230,Dolores Claiborne (1995),132
231,Dumb & Dumber (Dumb and Dumber) (1994),107
232,Eat Drink Man Woman (Yin shi nan nu) (1994),124
233,Exotica (1994),103
234,Exit to Eden (1994),113
235,Ed Wood (1994),127
236,French Kiss (1995),111
237,Forget Paris (1995),101
238,Far From Home: The Adventures of Yellow Dog (1995),81
239,"Goofy Movie, A (1995)",78
240,Hideaway (1995),106
241,Fluke (1995),96
242,Farinelli: il castrato (1994),111
243,Gordy (1995),90
244,Gumby: The Movie (1995),90
245,The Glass Shield (1994),109
246,Hoop Dreams (1994),170
247,Heavenly Creatures (1994),99
248,Houseguest (1994),113
249,Immortal Beloved (1994),121
250,Heavyweights (Heavy Weights) (1995),97
251,"Hunted, The (1995)",110
252,I.Q. (1994),100
253,Interview with the Vampire: The Vampire Chronicles (1994),123
254,Jefferson in Paris (1995),139
255,"Jerky Boys, The (1995)",82
256,Junior (1994),109
257,Just Cause (1995),102
258,"Kid in King Arthur's Court, A (1995)",89
259,Kiss of Death (1995),101
260,Star Wars: Episode IV - A New Hope (1977),121
261,Little Women (1994),115
262,"Little Princess, A (1995)",97
263,Ladybird Ladybird (1994),101
264,"Enfer, L' (1994)",102
265,Like Water for Chocolate (Como agua para chocolate) (1992),105
266,Legends of the Fall (1994),133
267,Major Payne (1995),95
268,Little Odessa (1994),98
269,My Crazy Life (Mi vida loca) (1993),92
270,Love Affair (1994),108
271,Losing Isaiah (1995),111
272,"Madness of King George, The (1994)",110
273,Mary Shelley's Frankenstein (Frankenstein) (1994),123
274,Man of the House (1995),96
275,Mixed Nuts (1994),97
276,Milk Money (1994),110
277,Miracle on 34th Street (1994),114
278,Miami Rhapsody (1995),95
279,My Family (1995),128
280,Murder in the First (1995),122
281,Nobody's Fool (1994),110
282,Nell (1994),112
283,New Jersey Drive (1995),98
284,New York Cop (Nyû Yôku no koppu) (1993),93
285,Beyond Bedlam (1993),89
286,Nemesis 2: Nebula (1995),
287,Nina Takes a Lover (1994),98
288,Natural Born Killers (1994),119
289,Only You (1994),109
290,Once Were Warriors (1994),102
292,Outbreak (1995),127
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),110
294,"Perez Family, The (1995)",113
295,"Pyromaniac's Love Story, A (1995)",94
296,Pulp Fiction (1994),154
297,Panther (1995),124
298,Pushing Hands (Tui shou) (1992),105
299,Priest (1994),98
300,Quiz Show (1994),133
301,Picture Bride (Bijo photo) (1994),94
302,"Queen Margot (Reine Margot, La) (1994)",161
303,"Quick and the Dead, The (1995)",108
304,Roommates (1995),108
305,Ready to Wear (Pret-A-Porter) (1994),133
306,Three Colors: Red (Trois couleurs: Rouge) (1994),99
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),98
308,Three Colors: White (Trzy kolory: Bialy) (1994),92
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",111
310,Rent-a-Kid (1995),
311,Relative Fear (1994),94
312,Stuart Saves His Family (1995),95
313,"Swan Princess, The (1994)",90
314,"Secret of Roan Inish, The (1994)",103
315,"Specialist, The (1994)",110
316,Stargate (1994),121
317,"Santa Clause, The (1994)",97
318,"Shawshank Redemption, The (1994)",142
319,Shallow Grave (1994),89
320,Suture (1993),96
321,Strawberry and Chocolate (Fresa y chocolate) (1993),108
322,Swimming with Sharks (1995),93
324,"Sum of Us, The (1994)",100
325,National Lampoon's Senior Trip (1995),91
326,To Live (Huozhe) (1994),133
327,Tank Girl (1995),104
328,Tales from the Crypt Presents: Demon Knight (1995),92
329,Star Trek: Generations (1994),118
330,Tales from the Hood (1995),98
331,Tom & Viv (1994),115
332,Village of the Damned (1995),98
333,Tommy Boy (1995),97
334,Vanya on 42nd Street (1994),119
335,Underneath (1995),99
336,"Walking Dead, The (1995)",88
337,What's Eating Gilbert Grape (1993),118
338,Virtuosity (1995),106
339,While You Were Sleeping (1995),103
340,"War, The (1994)",126
341,Double Happiness (1994),87
342,Muriel's Wedding (1994),106
343,"Baby-Sitters Club, The (1995)",94
344,Ace Ventura: Pet Detective (1994),86
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",104
346,Backbeat (1993),100
347,Bitter Moon (1992),139
348,Bullets Over Broadway (1994),98
349,Clear and Present Danger (1994),141
350,"Client, The (1994)",119
351,"Corrina, Corrina (1994)",115
352,Crooklyn (1994),115
353,"Crow, The (1994)",102
354,Cobb (1994),128
355,"Flintstones, The (1994)",91
356,Forrest Gump (1994),142
357,Four Weddings and a Funeral (1994),117
358,Higher Learning (1995),128
359,I Like It Like That (1994),104
360,I Love Trouble (1994),123
361,It Could Happen to You (1994),101
362,"Jungle Book, The (1994)",111
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",183
364,"Lion King, The (1994)",88
365,Little Buddha (1993),123
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",112
367,"Mask, The (1994)",101
368,Maverick (1994),127
369,Mrs. Parker and the Vicious Circle (1994),125
370,Naked Gun 33 1/3: The Final Insult (1994),83
371,"Paper, The (1994)",112
372,Reality Bites (1994),99
373,Red Rock West (1992),98
374,Richie Rich (1994),95
375,Safe Passage (1994),98
376,"River Wild, The (1994)",111
377,Speed (1994),116
378,Speechless (1994),99
379,Timecop (1994),99
380,True Lies (1994),141
381,When a Man Loves a Woman (1994),126
382,Wolf (1994),125
383,Wyatt Earp (1994),191
384,Bad Company (1995),108
385,"Man of No Importance, A (1994)",99
386,S.F.W. (1994),96
387,"Low Down Dirty Shame, A (1994)",100
388,Boys Life (1995),91
389,"Colonel Chabert, Le (1994)",110
390,Faster Pussycat! Kill! Kill! (1965),83
391,Jason's Lyric (1994),119
392,"Secret Adventures of Tom Thumb, The (1993)",60
393,Street Fighter (1994),102
394,Coldblooded (1995),92
395,Desert Winds (1995),97
396,Fall Time (1995),88
397,"Fear, The (1995)",102
398,Frank and Ollie (1995),89
399,Girl in the Cadillac (1995),89
400,Homage (1995),97
401,Mirage (1995),92
402,Open Season (1996),97
403,Two Crimes (Dos crímenes) (1995),108
404,Brother Minister: The Assassination of Malcolm X (1994),115
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),99
406,Federal Hill (1994),97
407,In the Mouth of Madness (1995),95
408,8 Seconds (1994),105
409,Above the Rim (1994),96
410,Addams Family Values (1993),94
411,Martin Lawrence: You So Crazy (1994),84
412,"Age of Innocence, The (1993)",139
413,Airheads (1994),92
414,"Air Up There, The (1994)",107
415,Another Stakeout (1993),108
416,Bad Girls (1994),99
417,Barcelona (1994),101
418,Being Human (1993),122
419,"Beverly Hillbillies, The (1993)",92
420,Beverly Hills Cop III (1994),104
421,Black Beauty (1994),88
422,Blink (1994),106
423,Blown Away (1994),121
424,Blue Chips (1994),108
425,Blue Sky (1994),101
426,Body Snatchers (1993),87
427,Boxing Helena (1993),107
428,"Bronx Tale, A (1993)",121
429,Cabin Boy (1994),80
430,Calendar Girl (1993),90
431,Carlito's Way (1993),144
432,City Slickers II: The Legend of Curly's Gold (1994),116
433,Clean Slate (1994),107
434,Cliffhanger (1993),113
435,Coneheads (1993),88
436,Color of Night (1994),121
437,Cops and Robbersons (1994),93
438,"Cowboy Way, The (1994)",102
439,Dangerous Game (1993),108
440,Dave (1993),110
441,Dazed and Confused (1993),103
442,Demolition Man (1993),115
443,"Endless Summer 2, The (1994)",109
444,Even Cowgirls Get the Blues (1993),106
445,Fatal Instinct (1993),91
446,Farewell My Concubine (Ba wang bie ji) (1993),171
447,"Favor, The (1994)",97
448,Fearless (1993),122
449,Fear of a Black Hat (1994),88
450,With Honors (1994),101
451,Flesh and Bone (1993),126
452,Widows' Peak (1994),101
453,For Love or Money (1993),96
454,"Firm, The (1993)",154
455,Free Willy (1993),112
456,Fresh (1994),114
457,"Fugitive, The (1993)",130
458,Geronimo: An American Legend (1993),115
459,"Getaway, The (1994)",115
460,Getting Even with Dad (1994),109
461,Go Fish (1994),83
462,"Good Man in Africa, A (1994)",94
463,Guilty as Sin (1993),107
464,Hard Target (1993),97
465,Heaven & Earth (1993),140
466,Hot Shots! Part Deux (1993),86
467,Live Nude Girls (1995),95
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",99
469,"House of the Spirits, The (1993)",145
470,House Party 3 (1994),100
471,"Hudsucker Proxy, The (1994)",111
472,I'll Do Anything (1994),115
473,In the Army Now (1994),91
474,In the Line of Fire (1993),128
475,In the Name of the Father (1993),133
476,"Inkwell, The (1994)",110
477,What's Love Got to Do with It? (1993),118
478,Jimmy Hollywood (1994),112
479,Judgment Night (1993),110
480,Jurassic Park (1993),127
481,Kalifornia (1993),117
482,Killing Zoe (1994),96
483,King of the Hill (1993),103
484,Lassie (1994),94
485,Last Action Hero (1993),130
486,Life with Mikey (1993),91
487,Lightning Jack (1994),98
488,M. Butterfly (1993),101
489,Made in America (1993),111
490,Malice (1993),107
491,"Man Without a Face, The (1993)",115
492,Manhattan Murder Mystery (1993),104
493,Menace II Society (1993),97
494,Executive Decision (1996),133
495,In the Realm of the Senses (Ai no corrida) (1976),109
496,What Happened Was... (1994),91
497,Much Ado About Nothing (1993),111
498,Mr. Jones (1993),114
499,Mr. Wonderful (1993),98
500,Mrs. Doubtfire (1993),125
501,Naked (1993),131
502,"Next Karate Kid, The (1994)",107
503,"New Age, The (1994)",112
504,No Escape (1994),118
505,North (1994),87
506,Orlando (1992),94
507,"Perfect World, A (1993)",138
508,Philadelphia (1993),125
509,"Piano, The (1993)",121
510,Poetic Justice (1993),109
511,"Program, The (1993)",112
512,"Puppet Masters, The (1994)",109
513,Radioland Murders (1994),108
514,"Ref, The (1994)",97
515,"Remains of the Day, The (1993)",134
516,Renaissance Man (1994),128
517,Rising Sun (1993),129
518,"Road to Wellville, The (1994)",118
519,RoboCop 3 (1993),104
520,Robin Hood: Men in Tights (1993),104
521,Romeo Is Bleeding (1993),110
522,Romper Stomper (1992),94
523,Ruby in Paradise (1993),114
524,Rudy (1993),114
525,"Saint of Fort Washington, The (1993)",103
526,"Savage Nights (Nuits fauves, Les) (1992)",126
527,Schindler's List (1993),195
528,"Scout, The (1994)",101
529,Searching for Bobby Fischer (1993),109
530,Second Best (1994),105
531,"Secret Garden, The (1993)",101
532,Serial Mom (1994),95
533,"Shadow, The (1994)",108
534,Shadowlands (1993),131
535,Short Cuts (1993),188
536,"Simple Twist of Fate, A (1994)",106
537,Sirens (1994),98
538,Six Degrees of Separation (1993),112
539,Sleepless in Seattle (1993),105
540,Sliver (1993),107
541,Blade Runner (1982),117
542,Son in Law (1993),95
543,So I Married an Axe Murderer (1993),93
544,Striking Distance (1993),102
546,Super Mario Bros. (1993),104
547,Surviving the Game (1994),96
548,Terminal Velocity (1994),102
549,Thirty-Two Short Films About Glenn Gould (1993),98
550,Threesome (1994),93
551,"Nightmare Before Christmas, The (1993)",76
552,"Three Musketeers, The (1993)",105
553,Tombstone (1993),130
554,Trial by Jury (1994),107
555,True Romance (1993),119
556,"War Room, The (1993)",96
558,"Pagemaster, The (1994)",80
559,"Paris, France (1993)",112
560,"Beans of Egypt, Maine, The (1994)",99
561,Killer (Bulletproof Heart) (1994),95
562,Welcome to the Dollhouse (1995),88
563,Germinal (1993),160
564,Chasers (1994),102
565,Cronos (1993),94
566,Naked in New York (1994),95
567,Kika (1993),114
568,Bhaji on the Beach (1993),101
569,Little Big League (1994),119
570,"Slingshot, The (Kådisbellan) (1993)",102
571,"Wedding Gift, The (1994)",
572,Foreign Student (1994),90
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",100
574,Spanking the Monkey (1994),100
575,"Little Rascals, The (1994)",82
576,Fausto (1993),82
577,Andre (1994),94
579,"Escort, The (Scorta, La) (1993)",96
580,Princess Caraboo (1994),97
581,"Celluloid Closet, The (1995)",102
582,Métisse (Café au Lait) (1993),94
583,Dear Diary (Caro Diario) (1994),100
584,I Don't Want to Talk About It (De eso no se habla) (1993),102
585,"Brady Bunch Movie, The (1995)",90
586,Home Alone (1990),103
587,Ghost (1990),126
588,Aladdin (1992),90
589,Terminator 2: Judgment Day (1991),137
590,Dances with Wolves (1990),181
591,Tough and Deadly (1995),92
592,Batman (1989),126
593,"Silence of the Lambs, The (1991)",118
594,Snow White and the Seven Dwarfs (1937),83
595,Beauty and the Beast (1991),84
596,Pinocchio (1940),88
597,Pretty Woman (1990),119
598,Window to Paris (Okno v Parizh) (1994),115
599,"Wild Bunch, The (1969)",135
600,Love and a .45 (1994),101
601,"Wooden Man's Bride, The (Yan shen) (1994)",113
602,"Great Day in Harlem, A (1994)",60
603,"Bye Bye, Love (1995)",106
604,Criminals (1996),73
605,One Fine Day (1996),108
606,Candyman: Farewell to the Flesh (1995),95
607,Century (1993),112
608,Fargo (1996),98
609,Homeward Bound II: Lost in San Francisco (1996),88
610,Heavy Metal (1981),86
611,Hellraiser: Bloodline (1996),85
612,"Pallbearer, The (1996)",98
613,Jane Eyre (1996),112
614,Loaded (1994),96
615,Bread and Chocolate (Pane e cioccolata) (1973),100
616,"Aristocats, The (1970)",78
617,"Flower of My Secret, The (La flor de mi secreto) (1995)",103
618,Two Much (1995),118
619,Ed (1996),94
620,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991),105
621,My Favorite Season (1993),127
623,"Modern Affair, A (1995)",90
625,Asfour Stah (1990),98
626,"Thin Line Between Love and Hate, A (1996)",108
627,"Last Supper, The (1995)",92
628,Primal Fear (1996),129
629,Rude (1995),89
630,Carried Away (1996),109
631,All Dogs Go to Heaven 2 (1996),82
632,Land and Freedom (Tierra y libertad) (1995),109
633,Denise Calls Up (1995),80
634,Theodore Rex (1995),92
635,"Family Thing, A (1996)",109
636,Frisk (1995),88
637,Sgt. Bilko (1996),94
638,Jack and Sarah (1995),110
639,Girl 6 (1996),108
640,Diabolique (1996),107
641,"Little Indian, Big City (Un indien dans la ville) (1994)",90
642,Roula (1995),97
643,Peanuts - Die Bank zahlt alles (1996),95
644,Happy Weekend (1996),86
645,Nelly & Monsieur Arnaud (1995),106
647,Courage Under Fire (1996),116
648,Mission: Impossible (1996),110
649,Cold Fever (Á köldum klaka) (1995),83
650,Moll Flanders (1996),123
651,"Superweib, Das (1996)",86
652,"301, 302 (301/302) (1995)",100
653,Dragonheart (1996),103
654,And Nobody Weeps for Me (Und keiner weint mir nach) (1996),102
655,My Mother's Courage (Mutters Courage) (1995),89
656,Eddie (1996),100
657,Yankee Zulu (1994),100
658,Billy's Holiday (1995),92
659,Purple Noon (Plein soleil) (1960),118
660,August (1996),94
661,James and the Giant Peach (1996),79
662,Fear (1996),97
663,Kids in the Hall: Brain Candy (1996),89
664,Faithful (1996),91
665,Underground (1995),167
666,All Things Fair (Lust och fägring stor) (1995),130
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),90
668,Song of the Little Road (Pather Panchali) (1955),125
670,"World of Apu, The (Apur Sansar) (1959)",105
671,Mystery Science Theater 3000: The Movie (1996),73
672,Tarantella (1995),100
673,Space Jam (1996),88
674,Barbarella (1968),98
675,Hostile Intentions (1994),90
676,They Bite (1996),98
678,Some Folks Call It a Sling Blade (1993),
679,"Run of the Country, The (1995)",109
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",99
681,Coup de torchon (Clean Slate) (1981),128
682,Tigrero: A Film That Was Never Made (1994),75
683,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",110
684,Windows (1980),96
685,It's My Party (1996),110
687,Country Life (1994),118
688,Operation Dumbo Drop (1995),107
690,"Promise, The (Versprechen, Das) (1995)",115
691,Mrs. Winterbourne (1996),105
692,Solo (1996),94
693,Under the Domim Tree (Etz Hadomim Tafus) (1994),102
694,"Substitute, The (1996)",114
695,True Crime (1996),
696,Butterfly Kiss (1995),88
697,Feeling Minnesota (1996),99
698,Delta of Venus (1995),102
699,To Cross the Rubicon (1991),
700,Angus (1995),90
701,Daens (1992),138
702,Faces (1968),130
703,Boys (1996),86
704,"Quest, The (1996)",95
705,Cosi (1996),100
706,Sunset Park (1996),99
707,Mulholland Falls (1996),107
708,"Truth About Cats & Dogs, The (1996)",97
709,Oliver & Company (1988),74
710,Celtic Pride (1996),91
711,Flipper (1996),95
712,Captives (1994),100
713,Of Love and Shadows (1994),103
714,Dead Man (1995),121
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",118
716,Switchblade Sisters (1975),91
717,Mouth to Mouth (Boca a boca) (1995),106
718,"Visitors, The (Visiteurs, Les) (1993)",107
719,Multiplicity (1996),117
720,Wallace & Gromit: The Best of Aardman Animation (1996),
721,Halfmoon (Paul Bowles - Halbmond) (1995),95
722,"Haunted World of Edward D. Wood Jr., The (1996)",89
723,Two Friends (1986),
724,"Craft, The (1996)",101
725,"Great White Hype, The (1996)",91
726,Last Dance (1996),103
727,War Stories (1995),95
728,Cold Comfort Farm (1995),
729,"Institute Benjamenta, or This Dream People Call Human Life (1995)",105
730,Low Life (1994),
731,Heaven's Prisoners (1996),132
732,Original Gangstas (1996),99
733,"Rock, The (1996)",136
734,Getting Away With Murder (1996),91
735,Cemetery Man (Dellamorte Dellamore) (1994),103
736,Twister (1996),113
737,Barb Wire (1996),98
738,"Garçu, Le (1995)",102
739,Honey Moon (Honigmond) (1996),92
741,Ghost in the Shell (Kôkaku kidôtai) (1995),83
742,Thinner (1996),93
743,Spy Hard (1996),81
744,Brothers in Trouble (1995),102
745,Wallace & Gromit: A Close Shave (1995),
746,Force of Evil (1948),79
747,"Stupids, The (1996)",94
748,"Arrival, The (1996)",115
749,"Man from Down Under, The (1943)",103
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),95
751,Careful (1992),100
752,Vermont Is For Lovers (1992),88
753,"Month by the Lake, A (1995)",92
754,Gold Diggers: The Secret of Bear Mountain (1995),93
755,Kim (1950),113
756,Carmen Miranda: Bananas Is My Business (1994),91
757,Ashes of Time (Dung che sai duk) (1994),100
758,"Jar, The (Khomreh) (1992)",82
759,Maya Lin: A Strong Clear Vision (1994),105
760,Stalingrad (1993),134
761,"Phantom, The (1996)",100
762,Striptease (1996),115
763,"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",103
764,Heavy (1995),105
765,Jack (1996),113
766,I Shot Andy Warhol (1996),103
767,"Grass Harp, The (1995)",107
768,Someone Else's America (1995),96
769,Marlene Dietrich: Shadow and Light (1996),
770,Costa Brava (1946),77
771,"Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La) (1987)",80
772,Quartier Mozart (1992),80
773,Touki Bouki (1973),85
774,Wend Kuuni (a.k.a. God's Gift) (1982),75
775,Spirits of the Dead (1968),121
776,Babyfever (1994),109
777,Pharaoh's Army (1995),90
778,Trainspotting (1996),93
779,'Til There Was You (1997),113
780,Independence Day (a.k.a. ID4) (1996),145
781,Stealing Beauty (1996),118
782,"Fan, The (1996)",116
783,"Hunchback of Notre Dame, The (1996)",91
784,"Cable Guy, The (1996)",96
785,Kingpin (1996),114
786,Eraser (1996),115
787,"Gate of Heavenly Peace, The (1995)",
788,"Nutty Professor, The (1996)",95
789,"I, the Worst of All (Yo, la peor de todas) (1990)",105
790,"Unforgettable Summer, An (Un été inoubliable) (1994)",82
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",85
792,"Hungarian Fairy Tale, A (Hol volt, hol nem volt) (1987)",97
793,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),90
794,Midnight Dancers (Sibak) (1994),100
795,Somebody to Love (1994),102
796,"Very Natural Thing, A (1974)",80
797,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",95
798,Daylight (1996),114
799,"Frighteners, The (1996)",110
800,Lone Star (1996),135
801,Harriet the Spy (1996),100
802,Phenomenon (1996),123
803,Walking and Talking (1996),86
804,She's the One (1996),96
805,"Time to Kill, A (1996)",149
806,American Buffalo (1996),88
807,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",98
808,Alaska (1996),109
809,Fled (1996),98
810,Kazaam (1996),93
812,Magic Hunter (Büvös vadász) (1994),106
813,Larger Than Life (1996),93
